pr_id,pr_category,pr_name,pr_cost,pr_rating,pr_description,pr_image
P552,electronics,Ergonomic Camera Bass Boost,67245,4.6,Get the best in class camera. This ergonomic model comes in bass boost style.,data/images/P552.jpg
P333,electronics,Compact Speaker Mini,14192,3.0,Get the best in class speaker. This compact model comes in mini style.,data/images/P333.jpg
P641,grocery,Organic Rice 5kg,376,3.6,Quality organic rice for your daily meals. Comes in a 5kg pack.,data/images/P641.jpg
P464,fashion,Slim-Fit Suit Small,20985,3.2,Stay trendy with our slim-fit suit. A classic choice in small.,data/images/P464.jpg
P643,luxury,Rare Silk Saree Signature,17576,3.2,Indulge in luxury with this rare silk saree. Comes in a signature.,data/images/P643.jpg
P164,grocery,Refined Sugar 1kg,76,4.6,Quality refined sugar for your daily meals. Comes in a 1kg pack.,data/images/P164.jpg
P577,electronics,Fast Smartphone Pro-Max,55745,4.7,Experience the power of this fast smartphone. Designed with pro-max specs.,data/images/P577.jpg
P147,fashion,Formal Kurta Large,2780,4.8,Upgrade your wardrobe with this formal kurta. The large size fits perfectly.,data/images/P147.jpg
P517,luxury,Limited Edition Suit Velvet Box,18576,3.8,Indulge in luxury with this limited edition suit. Comes in a velvet box.,data/images/P517.jpg
P636,luxury,Royal Luxury Watch Velvet Box,287914,4.1,Indulge in luxury with this royal luxury watch. Comes in a velvet box.,data/images/P636.jpg
P606,luxury,Imported Earrings 18k,35044,3.1,The ultimate symbol of elegance: imported earrings with 18k setting.,data/images/P606.jpg
P302,grocery,Refined Dal 1kg,157,3.6,Quality refined dal for your daily meals. Comes in a 1kg pack.,data/images/P302.jpg
P245,grocery,Pure Oil Instant,733,4.3,Enjoy the taste of pure oil. The instant is great for sharing.,data/images/P245.jpg
P35,luxury,Rare Luxury Watch Velvet Box,36318,4.6,Indulge in luxury with this rare luxury watch. Comes in a velvet box.,data/images/P35.jpg
P59,electronics,Fast Laptop Fold,90648,4.1,The fold laptop defines fast excellence. Perfect for high-end tasks.,data/images/P59.jpg
P472,daily_essential,Antibacterial Face Wash Lemon,295,4.2,Keep it fresh with our antibacterial face wash. Enriched with lemon.,data/images/P472.jpg
P531,electronics,High-Performance Laptop Max,152750,4.0,The max laptop defines high-performance excellence. Perfect for high-end tasks.,data/images/P531.jpg
P359,grocery,Polished Rice Bag,135,4.7,Quality polished rice for your daily meals. Comes in a bag pack.,data/images/P359.jpg
P428,grocery,Fresh Tea Instant,125,3.7,Enjoy the taste of fresh tea. The instant is great for sharing.,data/images/P428.jpg
P64,luxury,Genuine Bracelet 24k,7548,3.9,The ultimate symbol of elegance: genuine bracelet with 24k setting.,data/images/P64.jpg
P363,luxury,Italian Clutch Velvet Box,6375,4.5,Indulge in luxury with this italian clutch. Comes in a velvet box.,data/images/P363.jpg
P574,daily_essential,Herbal Toothpaste Mint,115,4.5,Keep it fresh with our herbal toothpaste. Enriched with mint.,data/images/P574.jpg
P267,luxury,Elegant Leather Bag Velvet Box,34879,4.8,Indulge in luxury with this elegant leather bag. Comes in a velvet box.,data/images/P267.jpg
P380,luxury,Pure Gold Diamond Ring Sapphire,159177,3.1,The ultimate symbol of elegance: pure gold diamond ring with sapphire setting.,data/images/P380.jpg
P204,electronics,Noise-Cancelling Headphones Sport Edition,10417,3.6,Get the best in class headphones. This noise-cancelling model comes in sport edition style.,data/images/P204.jpg
P108,luxury,Handcrafted Diamond Ring Diamond,349622,4.9,The ultimate symbol of elegance: handcrafted diamond ring with diamond setting.,data/images/P108.jpg
P273,electronics,Gaming Laptop Pro-Max,131340,3.2,The pro-max laptop defines gaming excellence. Perfect for high-end tasks.,data/images/P273.jpg
P349,electronics,Pro Monitor Lite,39049,4.0,The lite monitor defines pro excellence. Perfect for high-end tasks.,data/images/P349.jpg
P374,electronics,Slim Tablet Lite,34944,4.2,Experience the power of this slim tablet. Designed with lite specs.,data/images/P374.jpg
P356,daily_essential,Strong Towel Roll,337,3.5,Essential towel for your home. This strong version comes in roll.,data/images/P356.jpg
P342,fashion,Premium Watch Luxury Edition,9559,4.8,Complete your look with this premium watch. Comes in a stunning luxury edition color.,data/images/P342.jpg
